code,name,stock_price,expectd_value,EPS,BPS,PER,industry_PER,PBR,dividend_yield
000020,동화약품,7720,9863,337,10898,22.93,121.34,0.71,1.55%
000040,KR모터스,803,-5469,-855,392,N/A,7.65,2.05,0.00%
000050,경방,10600,-1312,1591,28074,6.66,17.07,0.38,1.18%
000060,메리츠화재,13750,N/A,2643,21819,5.2,8.91,0.63,6.18%
000070,삼양홀딩스,50900,129742,3481,183426,14.62,24.37,0.28,3.93%
000080,하이트진로,29050,-9140,-594,14796,N/A,N/A,1.96,2.41%
000100,유한양행,46700,23394,588,26384,79.42,121.34,1.77,0.82%
000120,CJ대한통운,147500,-30197,1741,164787,84.7,16.2,0.9,
000140,하이트진로홀딩스,12050,-59968,-903,19950,N/A,N/A,0.6,2.90%
000150,두산,38100,-111022,18218,87742,2.09,14.25,0.43,13.65%
000180,성창기업지주,1435,-2031,-156,8072,N/A,N/A,0.18,
000210,대림산업,78700,311056,17228,153815,4.57,5.83,0.51,1.65%
000220,유유제약,11750,11669,616,12364,19.07,121.34,0.95,1.79%
000230,일동홀딩스,8220,-33206,-1946,12183,N/A,121.34,0.67,1.16%
000240,한국테크놀로지그룹,9740,51427,1627,35779,5.99,10.36,0.27,3.59%
000270,기아차,29900,53794,4506,72277,6.64,7.65,0.41,3.85%
000300,대유플러스,646,1566,152,953,4.24,10.36,0.68,
000320,노루홀딩스,9250,15998,339,35058,27.25,81.51,0.26,4.32%
000370,한화손해보험,2095,N/A,-567,12154,N/A,8.91,0.17,
000390,삼화페인트,5110,1956,143,12408,35.78,81.51,0.41,2.45%
000400,롯데손해보험,1490,N/A,-300,3125,N/A,8.91,0.48,
000430,대원강업,2950,2473,258,7743,11.41,10.36,0.38,3.90%
000480,조선내화,74300,127204,6088,182083,12.2,16.1,0.41,5.38%
000490,대동공업,4525,-2025,131,10324,34.52,N/A,0.44,1.33%
000500,가온전선,14800,11110,1314,65308,11.27,N/A,0.23,4.05%
000520,삼일제약,17450,-9098,121,10203,144.26,121.34,1.71,0.86%
000540,흥국화재,2400,N/A,590,10926,4.07,8.91,0.22,
000590,CS홀딩스,45500,262739,8382,196805,5.43,11.87,0.23,1.10%
000640,동아쏘시오홀딩스,89900,102607,3220,121392,27.92,121.34,0.74,1.11%
000650,천일고속,56200,4000,506,35741,111.17,5.76,1.57,8.90%
000660,SK하이닉스,84100,127417,2765,70071,30.41,16.12,1.2,1.19%
000670,영풍,508000,1108461,126504,1893161,4.02,23.08,0.27,1.97%
000680,LS네트웍스,1800,-1742,-877,7067,N/A,17.07,0.25,
000700,유수홀딩스,6000,13051,156,9072,38.37,16.2,0.66,
000720,현대건설,33150,98521,3656,59778,9.07,5.83,0.55,1.81%
000760,이화산업,13000,-30562,-1615,36329,N/A,35.46,0.36,
000810,삼성화재,191500,N/A,12716,336392,15.06,8.91,0.57,4.44%
000850,화천기공,30550,137617,3388,134845,9.02,N/A,0.23,4.09%
000860,강남제비스코,16300,39299,2250,81019,7.25,81.51,0.2,3.07%
000880,한화,18350,-9984,919,48086,19.97,35.46,0.38,3.81%
000890,보해양조,872,-987,-131,635,N/A,N/A,1.37,
000910,유니온,2830,976,-1012,6790,N/A,81.51,0.42,3.53%
000950,전방,12350,-242560,-23962,74136,N/A,17.07,0.17,
000970,한국주철관,8960,9358,441,12466,20.3,11.87,0.72,2.23%
000990,DB하이텍,24050,33735,2351,14844,10.23,16.12,1.62,1.46%
001020,페이퍼코리아,1285,-8636,-971,436,N/A,N/A,2.95,
001040,CJ,72200,-49005,7491,139228,9.64,14.25,0.52,2.56%
001060,JW중외제약,29450,-2044,-1133,10461,N/A,121.34,2.82,1.07%
001070,대한방직,19400,-18463,-2943,35259,N/A,17.07,0.55,
001080,만호제강,13000,36837,250,74271,51.96,11.87,0.18,1.54%
001120,LG상사,12800,16737,737,30303,17.36,12.85,0.42,2.34%
001130,대한제분,125500,347687,10055,461851,12.48,24.37,0.27,1.59%
001140,국보,1620,-1419,-424,1333,N/A,16.2,1.22,0.00%
001200,유진투자증권,1980,N/A,427,8153,4.64,4.59,0.24,3.54%
001210,금호전기,3460,-15483,-3534,3383,N/A,153.45,1.02,
001230,동국제강,4080,-6993,-718,19568,N/A,11.87,0.21,
001250,GS글로벌,1605,3816,-207,4353,N/A,12.85,0.37,
001260,남광토건,9450,6728,393,5384,24.04,5.83,1.76,
001270,부국증권,17200,N/A,2055,54507,8.37,4.59,0.32,6.98%
001290,상상인증권,1175,N/A,-93,1622,N/A,4.59,0.72,
001340,백광산업,2760,2462,357,3895,7.73,35.41,0.71,2.72%
001360,삼성제약,4365,30,113,2423,38.52,121.34,1.8,
001380,SG충방,1195,327,17,2963,71.33,10.36,0.4,
001390,KG케미칼,13000,-55235,7569,26621,1.72,35.46,0.49,2.69%
001420,태원물산,3265,2120,71,4391,46.07,10.36,0.74,2.60%
001430,세아베스틸,9030,4247,480,51897,18.82,11.87,0.17,3.32%
001440,대한전선,645,47,-14,349,N/A,N/A,1.85,
001450,현대해상,24550,N/A,3011,56567,8.15,8.91,0.43,3.58%
001460,BYC,193000,73293,33063,520430,5.84,17.07,0.37,0.57%
001470,삼부토건,691,444,58,1531,11.93,5.83,0.45,
001500,현대차증권,7650,N/A,2322,25525,3.29,4.59,0.3,7.84%
001510,SK증권,619,N/A,66,1226,9.45,4.59,0.51,1.62%
001520,동양,1195,1166,-2,4063,N/A,81.51,0.29,3.35%
001530,DI동일,62500,118065,5025,271365,12.44,17.07,0.23,2.36%
001550,조비,17650,994,-25,9238,N/A,35.46,1.91,
001560,제일연마,5710,10013,640,11195,8.92,16.1,0.51,3.85%
001570,금양,2190,1141,-247,1733,N/A,35.46,1.26,
001620,케이비아이동국실업,604,-4994,-32,2665,N/A,10.36,0.23,
001630,종근당홀딩스,114000,200078,8988,93600,12.68,121.34,1.22,1.14%
001680,대상,19450,23262,2976,27896,6.53,24.37,0.7,3.08%
001720,신영증권,46250,N/A,5326,140556,8.68,4.59,0.33,5.95%
001740,SK네트웍스,5000,-13108,-530,8990,N/A,14.25,0.56,2.40%
001750,한양증권,6000,N/A,1672,22324,3.59,4.59,0.27,5.83%
001770,신화실업,20200,24571,793,28118,25.48,11.87,0.72,0.50%
001780,알루코,1840,-2313,-98,2755,N/A,16.1,0.67,
001790,대한제당,17100,10867,1533,50588,11.16,24.37,0.34,3.95%
001800,오리온홀딩스,14350,31275,772,32019,18.58,24.37,0.45,4.53%
001820,삼화콘덴서,49550,48284,2852,14890,17.37,46.17,3.33,0.50%
001880,삼호,20350,92246,6265,30162,3.25,5.83,0.67,1.97%
001940,KISCO홀딩스,9930,77497,2408,53446,4.12,11.87,0.19,2.82%
002020,코오롱,21050,-7391,-1244,43841,N/A,35.46,0.48,2.38%
002030,아세아,82500,370893,22002,408663,3.75,9.38,0.2,2.12%
002070,남영비비안,1065,191,-32,1600,N/A,17.07,0.67,
002100,경농,12500,4782,209,10302,59.74,35.46,1.21,1.76%
002140,고려산업,2585,2204,180,3883,14.39,24.37,0.67,1.16%
002150,도화엔지니어링,8880,8782,516,7537,17.23,5.83,1.18,2.82%
002170,삼양통상,50800,207074,14733,115202,3.45,17.07,0.44,1.97%
002200,수출포장,17950,55438,4505,61942,3.98,9.38,0.29,3.34%
002210,동성제약,11350,-1147,-328,2970,N/A,121.34,3.82,
002220,한일철강,1520,-6098,-478,7359,N/A,11.87,0.21,
002240,고려제강,15300,26300,499,68850,30.66,11.87,0.22,2.29%
002270,롯데푸드,358000,411165,33151,777670,10.8,24.37,0.46,3.35%
002300,한국제지,13550,-10091,-4330,90307,N/A,N/A,0.15,1.48%
002310,아세아제지,29600,88459,6860,65302,4.31,9.38,0.45,2.03%
002320,한진,48650,-104964,-261,75968,N/A,16.2,0.64,1.03%
002350,넥센타이어,6060,8472,1135,15139,5.34,10.36,0.4,1.73%
002360,SH에너지화학,893,485,-26,881,N/A,35.46,1.01,
002380,KCC,144000,278272,-21079,452732,N/A,81.51,0.32,3.82%
002390,한독,22500,14106,2538,24757,8.87,121.34,0.91,1.22%
002410,범양건영,2780,4004,794,2819,3.5,5.83,0.99,
002420,세기상사,50300,-52496,-2309,55045,N/A,N/A,0.91,
002450,삼익악기,1490,-1,151,2685,9.88,N/A,0.55,3.36%
002460,화성산업,8620,56567,616,30635,13.99,5.83,0.28,5.80%
002600,조흥,131000,203080,13076,215770,10.02,24.37,0.61,4.58%
002620,제일파마홀딩스,14100,2705,-5676,25632,N/A,121.34,0.55,0.50%
002630,오리엔트바이오,764,-663,-192,536,N/A,10.36,1.42,0.00%
002690,동일제강,1835,4497,74,8703,24.65,11.87,0.21,0.54%
002700,신일산업,1845,1458,61,986,30.49,15.74,1.87,1.08%
002710,TCC스틸,1700,5455,219,5299,7.75,11.87,0.32,1.71%
002720,국제약품,7050,973,-259,3479,N/A,121.34,2.03,
002760,보락,1775,304,11,734,163.94,24.37,2.42,0.28%
002780,진흥기업,2105,2322,139,665,15.18,5.83,3.17,
002790,아모레G,62500,66572,1498,37530,41.72,43.2,1.67,0.48%
002810,삼영무역,13150,19589,1941,19965,6.78,35.46,0.66,2.54%
002820,선창산업,3160,-19385,-2973,17712,N/A,N/A,0.18,
002840,미원상사,61000,74415,6164,44134,9.9,35.46,1.38,1.07%
002870,신풍제지,1270,3329,562,2500,2.26,9.38,0.51,4.72%
002880,대유에이텍,746,-2179,94,1032,7.9,10.36,0.72,
002900,동양물산,1000,-898,54,903,18.69,N/A,1.11,
002920,유성기업,2530,10198,670,10761,3.78,10.36,0.24,7.91%
002960,한국쉘석유,257500,243775,16174,75323,15.92,28.46,3.42,6.21%
002990,금호산업,7430,17219,323,10676,23.04,5.83,0.7,6.73%
003000,부광약품,27650,5780,-111,5091,N/A,121.34,5.43,0.69%
003010,혜인,4315,5598,365,9249,11.83,12.85,0.47,1.39%
003030,세아제강지주,27750,188656,-742,238819,N/A,11.87,0.12,5.41%
003060,에이프로젠제약,1635,1129,-47,1019,N/A,121.34,1.6,
003070,코오롱글로벌,7570,7093,1911,18373,3.96,5.83,0.41,4.62%
003080,성보화학,3960,2431,-143,7390,N/A,35.46,0.54,3.41%
003090,대웅,13600,17415,1074,14534,12.66,121.34,0.94,0.74%
003120,일성신약,91400,120857,2526,225255,36.19,121.34,0.41,0.82%
003160,디아이,2960,3164,21,4676,144.01,16.12,0.63,1.69%
003200,일신방직,54800,181588,2940,308735,18.64,17.07,0.18,2.74%
003220,대원제약,15150,15612,1348,10275,11.24,121.34,1.47,1.67%
003230,삼양식품,101000,89646,7906,37663,12.78,24.37,2.68,0.79%
003240,태광산업,756000,4134104,122200,3777146,6.19,35.46,0.2,0.21%
003280,흥아해운,258,-3199,-554,277,N/A,N/A,0.93,0.00%
003300,한일홀딩스,38900,28251,2304,166986,16.89,81.51,0.23,5.91%
003350,한국화장품제조,37100,9751,-328,13249,N/A,43.2,2.8,0.27%
003410,쌍용양회,4980,2511,259,3566,19.2,81.51,1.4,8.43%
003460,유화증권,2300,N/A,84,7469,27.42,4.59,0.31,5.22%
